Categoria,Provincia,Comune,Denominazione,Indirizzo,Telefono,Orari,Biglietto intero,Biglietto ridotto,Note,scheda
Aree archeologiche,Palermo,San Cipirello,Area archeologica Monte Jato,"Sede uffici: Contrada Perciana - Case D'Alia, 90040 - San Cipirello/Monreale",0918577943,"Area archeologica: da martedì a sabato 9,30 - 16,00 (ultimo ingresso ore 14,00). Domeniche e festivi 9,30 - 13,30 (ultimo ingresso ore 12,00). Antiquarium: 9,30 - 18,30. Domeniche e festivi 9,30 - 13,00. Lunedi chiusura",Ingresso libero,Ingresso libero,"Dipende dal Polo regionale di Palermo per i Parchi e i Musei archeologici. Per visitare l'area scavi, posta a 900 metri, è consigliabile calzare scarpe e indossare abiti adeguati.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=94&amp;IdSito=64
Monumentale,Trapani,Partanna,Castello Grifeo,Piazza B. Graffeo,0924 923970,"Tutti i giorni dalle 9,30 alle 12,30 e dalle 15,30 alle 18,30. La biglietteria chiude mezz'ora prima.","4,00 €","2,00 €","Biglietto cumulativo d'ingresso con il Parco archeologico di Selinunte, con tariffa intera di € 6,00 e ridotta di € 3,00, la cui validità è di giorni tre dalla data di emissione",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=185&amp;IdSito=151
Monumentale,Messina,Messina,Monastero Maria SS. della Valle - Badiazza,Alveo del torrente Scala-Badiazza,(+39) 348 88 31 172,"Su richiesta dei visitatori, previo contatto telefonico con la segreteria dell'Associazione ''Il Centauro Olnus'' come da avviso affisso all'ingresso della Chiesa e pubblicato sul sito dell'Associazione ''www.ilcentauroolnus.org''.",Gratuito,Gratuito,,
Musei archeologici,Palermo,Palermo,Museo archeologico regionale Antonino Salinas di Palermo,"Piazza Olivella - UFFICI Via Bara all'Olivella 24, PALERMO",0916116807 - 0916116806 - FAX 0916110740,"ESTIVI: Da martedì a sabato, dalle 9.30 alle 18,30. Domeniche e festivi dalle 9,30 alle 13,30. Lunedì chiuso",Gratuito,Gratuito,"N.B.: la Biglietteria cessa il servizio mezz'ora prima della chiusura.
BIBLIOTECA orari di apertura: Lunedì,Martedì,Giovedì,Venerdì ore 9,30-13,30; Mercoledì:9,30-17,30.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=27&amp;IdSito=53
Aree archeologiche,Agrigento,Sambuca di Sicilia,Area archeologica di Monte Adranone,Contrada Adragna - Sambuca di Sicilia,0925 946083,"Da lunedì a sabato dalle 9 alle 19.00. Prima domenica di ogni mese dalle 9.00 alle 13.00.Tutte le altre Domeniche, comprese le Festività chiusura totale","6,00 €","3,00 €",Il biglietto comprende l'ingresso alla zona archeologica di Monte Adranone / Museo di Palazzo Panitteri (Sambuca di Sicilia) / Antiquarium di Monte Kronio (Sciacca).,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=158&amp;IdSito=12
Monumentale,Caltanissetta,Riesi,Complesso Minerario di Trabia Tallarita,Contrada Palladio - Ex Centrale Elettrica Palladio,0934554964,"GIUGNO-LUGLIO Da lunedì a domenica, dalle ore 8,00 alle ore 19,30.","4,00 €","2,00 €",Per ragioni di sicurezza è visitabile soltanto l'area del Museo delle Solfare,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=99&amp;IdSito=136
Aree archeologiche,Catania,Aci Catena,Area archeologica Santa Venera al Pozzo,Via Alimena 7,0957150508 (Uffici del Polo Museale),"da lunedì a sabato dalle ore 9.00 alle ore 13,30",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=93&amp;IdSito=34
Aree archeologiche,Siracusa,Siracusa,Area archeologica Castello Eurialo,Piazza Eurialo 1,0931711773,LUGLIO 2017 CHIUSO,"4,00 €","2,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=103&amp;IdSito=74
Monumentale,Ragusa,Scicli,Convento della Croce,"Scicli, Collina della Croce snc",0932249440/456 info:polomuseale.rg@regione.sicilia.it,Tutti i giorni feriali dalle 9 alle 13. Festivi: Solo la prima domenica del mese,"2,00 €","1,00 €",Aperture straordinarie solo su prenotazione ai numeri indicati. La prima domenica del mese ingresso gratuito. Dipende dal Polo regionale di Ragusa per i siti archeologici e per i Parchi archeologici di Kamarina e Cava Ispica,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=98&amp;IdSito=137
Aree archeologiche,Messina,Taormina,Museo naturalistico regionale di Isolabella e Villa Caronia,"Via Nazionale 109 - Taormina, Sicily, Italy",Tel: 0942628738 Fax 0942628738,"Dalle 9.00 alle 16, chiuso il lunedì. Maggiori informazioni su www.parconaxostaormina.it, vedi Orari e modalità di visita. Possibile biglietto unico per la visita di Naxos e Isolabella (intero € 6, ridotto € 3 - validità giorni tre)","4,00 €","2,00 €","Per motivi di sicurezza l'afflusso dei visitatori sarà regolato in gruppi di non più 15 unità
Audio Tour LINK IZI.travel 
https://izi.travel/it/italia/guide-di-citta-in-sicilia-taormina
Audio Tour - Scarica App su iziTRAVEL",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=154&amp;IdSito=114
Monumentale,Messina,Casalvecchio Siculo,Abbazia e Monastero dei SS. Pietro e Paolo d’Agrò,Contrada San Pietro,"09036746433, URP della Soprintendenza di Messina",Da lunedì a venerdì dalle 9 alle 13. Mercoledì dalle 15.30 alle 17.30. Domenica e festivi su prenotazione,Gratuito,Gratuito,,
